C Data Columns are: time,Chan 101,time,Chan 102,time,Chan 103
C Channel Labels: secs,volts,secs,volts,secs,volts
C Channel conv factors: 1,1,1,1,1,1
0.044,0.00504722,0.08,0.0102591,0.122,0.00383424
0.502,0.00503939,0.51,0.0102712,0.518,0.00449703
1.002,0.00503297,1.01,0.0102705,1.018,0.00455619
1.502,0.00502869,1.51,0.0102648,1.518,0.00531448
2.002,0.00504152,2.01,0.0102726,2.018,0.00512491
2.502,0.00504081,2.51,0.0102698,2.518,0.00535867
3.002,0.00503796,3.01,0.0102726,3.018,0.0042369
3.502,0.00504509,3.51,0.0102683,3.518,0.00611411
4.002,0.00504295,4.01,0.0102705,4.018,0.00506718
4.502,0.0050401,4.51,0.0102705,4.518,0.0050009
5.002,0.00503725,5.011,0.0102755,5.019,0.00507359
5.502,0.00473935,5.51,0.0102562,5.518,0.00448848
6.002,0.00504509,6.01,0.0102527,6.018,0.00456118
6.502,0.00504437,6.51,0.0102562,6.518,0.00480705
7.002,0.00504865,7.01,0.0102555,7.018,0.00457258
7.502,0.00504224,7.51,0.0102569,7.518,0.004703
8.002,0.00922996,8.01,0.0138845,8.018,-0.000291488
8.502,0.0175142,8.51,0.0218573,8.519,0.000781101
9.002,0.0238728,9.01,0.0294809,9.018,0.000545916
9.502,0.0260429,9.51,0.0369548,9.518,0.000257279
10.002,0.0247665,10.01,0.0447815,10.018,0.00346792
10.502,0.02574,10.51,0.0523865,10.518,0.00432029
11.002,0.0253737,11.01,0.0603422,11.018,0.00531804
11.502,0.0250651,11.51,0.0679565,11.518,0.00498237
12.002,0.0299042,12.01,0.0756114,12.018,0.00469445
12.502,0.0312419,12.51,0.0835664,12.518,0.00416421
13.002,0.0327393,13.01,0.0909398,13.018,0.00502085
13.502,0.0357924,13.51,0.0985292,13.518,0.00448563
14.002,0.0381856,14.01,0.106146,14.018,0.00359478
14.502,0.0403742,14.51,0.114092,14.518,0.00406515
15.002,0.0424724,15.024,0.121722,15.036,0.00383353
15.502,0.0448784,15.514,0.129385,15.526,0.00452839
16.002,0.0470777,16.014,0.137332,16.026,0.00445855
16.502,0.0494738,16.514,0.144966,16.526,0.0038492
17.002,0.0519767,17.014,0.152316,17.026,0.00413
17.502,0.0546678,17.514,0.160228,17.526,0.00494317
18.002,0.0568237,18.014,0.167891,18.026,0.00469231
18.502,0.0592176,18.514,0.17581,18.526,0.00486193
19.002,0.0614305,19.014,0.183473,19.026,0.00442648
19.502,0.0638058,19.514,0.191107,19.526,0.00475217
20.002,0.0662867,20.014,0.199019,20.026,0.00484411
20.502,0.0696798,20.514,0.206361,20.526,0.00595518
21.002,0.0723773,21.014,0.213996,21.026,0.00577274
21.502,0.0760291,21.514,0.221651,21.526,0.00577202
22.002,0.0794215,22.014,0.229549,22.026,0.00535439
22.502,0.0830191,22.514,0.237198,22.526,0.005658
23.002,0.0864407,23.014,0.24516,23.025,0.00597799
23.502,0.0907296,23.514,0.252773,23.525,0.00608133
24.002,0.0949886,24.014,0.260129,24.025,0.0062089
24.502,0.0998776,24.514,0.267749,24.526,0.00601932
25.002,0.104453,25.014,0.275697,25.025,0.00706697
25.502,0.11024,25.514,0.283317,25.525,0.00659446
26.002,0.1154,26.014,0.291265,26.025,0.00659517
26.516,0.122078,26.524,0.298927,26.536,0.00515769
27.002,0.128281,27.01,0.30632,27.022,0.00636355
27.502,0.136129,27.51,0.313897,27.522,0.00656524
28.002,0.143186,28.01,0.321802,28.022,0.00652462
28.502,0.151682,28.51,0.329479,28.522,0.00671633
29.002,0.159915,29.01,0.337405,29.022,0.00653388
29.502,0.168809,29.511,0.345061,29.523,0.00751881
30.002,0.177954,30.01,0.353001,30.022,0.00750099
30.502,0.188914,30.51,0.360315,30.522,0.00812032
31.002,0.20013,31.01,0.367978,31.022,0.00753021
31.502,0.213305,31.51,0.375584,31.522,0.00759649
32.002,0.225846,32.01,0.383532,32.022,0.00803408
32.502,0.241108,32.51,0.391152,32.522,0.00807969
33.002,0.255429,33.01,0.399114,33.022,0.00798277
33.502,0.273048,33.51,0.406755,33.523,0.00889215
34.002,0.290481,34.01,0.414083,34.022,0.00931121
34.502,0.311796,34.51,0.421732,34.522,0.00932546
35.002,0.332221,35.011,0.429665,35.022,0.00948439
35.502,0.355722,35.51,0.437299,35.522,0.0101921
36.002,0.379237,36.01,0.445254,36.023,0.0112262
36.502,0.40516,36.51,0.452867,36.523,0.0115269
37.002,0.431723,37.01,0.460523,37.022,0.0122532
37.502,0.461328,37.51,0.467829,37.522,0.013226
38.002,0.491779,38.01,0.475799,38.023,0.0131155
38.502,0.525037,38.51,0.483419,38.522,0.013675
39.002,0.557347,39.01,0.491381,39.023,0.013841
39.502,0.593397,39.51,0.499022,39.523,0.0142808
40.002,0.626932,40.01,0.506656,40.023,0.01558
40.502,0.665325,40.51,0.514618,40.523,0.0163041
41.002,0.703368,41.01,0.521918,41.022,0.0165955
41.502,0.746119,41.51,0.529573,41.522,0.0172697
42.002,0.786049,42.01,0.537186,42.023,0.0180259
42.502,0.830972,42.51,0.545141,42.522,0.0186203
43.002,0.873324,43.01,0.55279,43.022,0.0194456
43.502,0.916922,43.51,0.56041,43.522,0.0203806
44.002,0.962044,44.01,0.568386,44.022,0.0207384
44.502,1.00995,44.51,0.575678,44.522,0.0220041
45.002,1.05814,45.01,0.583334,45.022,0.0229883
45.502,1.10787,45.51,0.591246,45.522,0.0239105
46.002,1.15515,46.01,0.598902,46.022,0.0251442
46.516,1.20699,46.528,0.606935,46.539,0.0253067
47.002,1.25458,47.015,0.61447,47.026,0.0267142
47.502,1.30665,47.514,0.622111,47.525,0.026886
48.002,1.35859,48.014,0.630037,48.025,0.027588
48.502,1.41437,48.514,0.637401,48.525,0.0285002
49.002,1.46466,49.014,0.645028,49.026,0.0300631
49.502,1.51745,49.514,0.65267,49.525,0.0305934
50.002,1.56781,50.014,0.660617,50.026,0.0321606
50.502,1.61904,50.514,0.668237,50.525,0.0330749
51.002,1.6684,51.014,0.676185,51.026,0.0345516
51.502,1.71692,51.514,0.683812,51.526,0.0357981
52.002,1.76479,52.014,0.691169,52.025,0.0357218
52.502,1.81537,52.514,0.699074,52.525,0.0358416
53.002,1.86117,53.014,0.706722,53.025,0.0364851
53.502,1.9094,53.514,0.714378,53.525,0.0373004
54.002,1.9515,54.014,0.722297,54.025,0.038326
54.502,1.99446,54.514,0.729946,54.525,0.0397157
55.002,2.02972,55.014,0.737822,55.025,0.0399887
55.502,2.05964,55.514,0.744922,55.525,0.0394378
56.002,2.04739,56.014,0.752841,56.025,0.0395212
56.502,2.06392,56.514,0.76049,56.525,0.0400849
57.002,2.06997,57.014,0.768459,57.025,0.0402866
57.502,2.08173,57.514,0.776072,57.525,0.040588
58.002,2.07012,58.014,0.784027,58.025,0.0418616
58.502,2.07646,58.515,0.791647,58.526,0.044036
59.002,2.06848,59.014,0.799011,59.027,0.0485501
59.502,2.06777,59.514,0.806616,59.525,0.0596238
60.002,2.07539,60.014,0.814564,60.025,0.0685088
60.502,2.07496,60.514,0.822234,60.525,0.0787793
61.002,2.07489,61.014,0.830146,61.025,0.089972
61.502,2.07411,61.514,0.837802,61.525,0.101115
62.002,2.06769,62.014,0.845407,62.025,0.113731
62.502,2.07005,62.514,0.852757,62.539,0.125895
63.002,2.06969,63.014,0.860726,63.022,0.139234
63.502,2.07332,63.514,0.868339,63.522,0.153057
64.002,2.07005,64.014,0.876294,64.022,0.167763
64.502,2.0709,64.514,0.883907,64.522,0.181358
65.002,2.07197,65.014,0.891548,65.022,0.195458
65.502,2.07924,65.514,0.899439,65.522,0.208961
66.002,2.07332,66.014,0.906831,66.022,0.223183
66.502,2.07168,66.514,0.914458,66.522,0.237711
67.002,2.06976,67.014,0.922377,67.022,0.252573
67.502,2.07432,67.514,0.93004,67.522,0.266937
68.002,2.08023,68.014,0.937639,68.022,0.280881
68.502,2.08586,68.514,0.945615,68.522,0.295687
69.002,2.09092,69.014,0.953221,69.022,0.309268
69.502,2.09363,69.514,0.960599,69.522,0.323411
70.002,2.09968,70.014,0.968247,70.022,0.33727
70.502,2.11193,70.514,0.976174,70.522,0.351136
71.002,2.10894,71.014,0.983829,71.022,0.365165
71.502,2.10417,71.514,0.991428,71.522,0.379942
72.002,2.09092,72.014,0.999383,72.022,0.395731
72.502,2.086,72.514,1.00698,72.522,0.410309
73.002,2.09263,73.014,1.01435,73.022,0.424303
73.502,2.09897,73.514,1.0223,73.522,0.437805
74.002,2.10217,74.014,1.02993,74.022,0.449271
74.502,2.10809,74.514,1.03787,74.522,0.442633
75.002,2.11265,75.014,1.04549,75.036,0.0402951
75.502,2.12148,75.515,1.05314,75.526,0.044532
76.002,2.04932,76.015,1.0611,76.026,0.0632279
76.502,2.11129,76.515,1.0684,76.526,0.0733922
77.002,2.14527,77.015,1.07606,77.028,0.0842007
77.502,2.15795,77.514,1.08368,77.525,0.0932853
78.002,2.16251,78.014,1.09162,78.025,0.102415
78.502,2.17035,78.514,1.09925,78.525,0.111635
79.002,2.17619,79.014,1.10722,79.039,0.121309
79.502,2.18388,79.514,1.11485,79.522,0.130225
80.002,2.18809,80.014,1.12218,80.023,0.139682
80.502,2.19564,80.514,1.13014,80.522,0.150158
81.002,2.20063,81.014,1.13775,81.022,0.158697
81.502,2.20761,81.514,1.1454,81.522,0.169258
82.002,2.21131,82.014,1.15332,82.022,0.178445
82.502,2.21808,82.514,1.16099,82.522,0.188095
83.002,2.22292,83.014,1.16883,83.022,0.197922
83.502,2.22955,83.514,1.17592,83.522,0.207266
84.002,2.23275,84.014,1.18388,84.022,0.217322
84.502,2.23938,84.514,1.19149,84.522,0.227285
85.002,2.24344,85.014,1.19945,85.022,0.237248
85.502,2.2495,85.528,1.20706,85.539,0.246491
86.002,2.2527,86.01,1.21497,86.023,0.25664
86.502,2.25925,86.51,1.22231,86.523,0.265577
87.002,2.26253,87.01,1.23,87.023,0.275626
87.502,2.26866,87.51,1.2377,87.524,0.285681
88.002,2.27137,88.01,1.2456,88.022,0.294868
88.502,2.27749,88.51,1.25323,88.522,0.304646
89.002,2.28048,89.01,1.26113,89.022,0.31525
89.502,2.28604,89.51,1.26883,89.522,0.324757
90.002,2.28875,90.01,1.27616,90.022,0.3345
90.502,2.29459,90.51,1.28379,90.522,0.344854
91.002,2.29758,91.01,1.29169,91.022,0.354248
91.502,2.30271,91.51,1.29925,91.522,0.36399
92.002,2.30535,92.01,1.30737,92.022,0.374181
92.502,2.31012,92.51,1.31485,92.522,0.385191
93.002,2.3134,93.01,1.32247,93.022,0.394271
93.502,2.31824,93.51,1.32981,93.522,0.404391
94.002,2.32023,94.011,1.33786,94.022,0.414717
94.502,2.32565,94.51,1.34548,94.522,0.424552
95.002,2.32807,95.01,1.35346,95.022,0.434209
95.502,2.3327,95.51,1.36115,95.522,0.444051
96.002,2.33463,96.01,1.36856,96.022,0.454441
96.502,2.33918,96.51,1.37668,96.522,0.464489
97.002,2.34146,97.01,1.38402,97.022,0.475022
97.502,2.34638,97.51,1.39164,97.522,0.484814
98.002,2.34723,98.01,1.39926,98.022,0.494984
98.502,2.35279,98.51,1.40717,98.522,0.505246
99.002,2.35443,99.01,1.41487,99.022,0.515708
99.502,2.35856,99.51,1.4227,99.522,0.525806
100.002,2.36041,100.01,1.43032,100.022,0.535591
100.502,2.36447,100.51,1.4378,100.522,0.545803
101.002,2.36654,101.01,1.44536,101.022,0.556172
101.502,2.37046,101.511,1.45333,101.523,0.566285
102.002,2.37146,102.01,1.46096,102.022,0.576248
102.502,2.37594,102.51,1.46879,102.522,0.586695
103.002,2.3778,103.01,1.47656,103.022,0.597392
103.502,2.38114,103.51,1.48425,103.523,0.606743
104.002,2.38221,104.01,1.49145,104.023,0.617973
104.502,2.38634,104.51,1.4995,104.524,0.627972
105.002,2.38791,105.01,1.50712,105.022,0.637543
105.502,2.39169,105.51,1.51503,105.524,0.64834
106.002,2.39247,106.01,1.52265,106.022,0.659307
106.502,2.39617,106.51,1.53027,106.523,0.669192
107.002,2.39774,107.01,1.53818,107.023,0.679432
107.502,2.40152,107.51,1.54552,107.523,0.690421
108.002,2.4018,108.011,1.55321,108.022,0.700982
108.502,2.40551,108.51,1.56112,108.522,0.711522
109.002,2.40643,109.01,1.56874,109.022,0.721706
109.502,2.40978,109.51,1.57636,109.522,0.731876
110.002,2.41071,110.01,1.58448,110.022,0.742636
110.502,2.41413,110.51,1.59196,110.522,0.753269
111.002,2.41505,111.01,1.59937,111.022,0.763809
111.502,2.41826,111.51,1.60692,111.522,0.774299
112.002,2.41833,112.01,1.61497,112.022,0.784312
112.502,2.42203,112.51,1.6226,112.522,0.7954
113.002,2.42296,113.01,1.63058,113.022,0.806218
113.502,2.4256,113.51,1.63798,113.522,0.815711
114.002,2.42631,114.01,1.64611,114.022,0.826008
114.502,2.43001,114.51,1.65351,114.522,0.837111
115.002,2.43065,115.01,1.66114,115.022,0.847095
115.502,2.43336,115.51,1.66869,115.522,0.857407
116.002,2.43308,116.01,1.6766,116.022,0.868061
116.502,2.43664,116.51,1.68415,116.522,0.878722
117.002,2.43764,117.01,1.6922,117.022,0.889241
117.502,2.4397,117.51,1.69982,117.522,0.89988
118.002,2.43977,118.01,1.70716,118.022,0.909437
118.502,2.44312,118.51,1.71478,118.522,0.919885
119.002,2.44369,119.01,1.72269,119.022,0.930375
119.502,2.4464,119.51,1.73031,119.522,0.94043
120.002,2.44633,120.01,1.73843,120.022,0.950842
120.502,2.44896,120.51,1.74605,120.522,0.961852
121.002,2.45003,121.01,1.7536,121.022,0.97225
121.502,2.4526,121.51,1.76101,121.522,0.982939
122.002,2.4516,122.01,1.76878,122.022,0.993764
122.502,2.45488,122.51,1.7764,122.522,1.00404
123.002,2.45537,123.011,1.78445,123.023,1.01426
123.502,2.45801,123.51,1.792,123.522,1.02537
124.002,2.4578,124.01,1.79977,124.022,1.03552
124.502,2.45986,124.51,1.8076,124.522,1.04662
125.002,2.46015,125.01,1.81494,125.022,1.05698
125.502,2.46293,125.51,1.82263,125.522,1.06703
126.002,2.46207,126.01,1.83019,126.021,1.07764
